File,Algorithm,Search,ObjectiveFunctionValue,Time(ns),NotFeasible,SolutionFile
SetA_10x5S20,MaxCapacityRandom,GreedyCustomerSwap,7175.0,1672295,,SetA_10x5S20-Solution
SetA_10x5S20,MaxCapacityRandom,GreedyInDoorSwap,6882.0,2063122,,SetA_10x5S20-Solution
SetA_10x5S20,MaxCapacityRandom,GreedyOutDoorSwap,6750.0,2020987,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacityRandom,GreedySupplierReloc,7076.0,1379568,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacityRandom,GreedyCustomerReloc,6873.0,1784353,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacityRandom,GreedySupplierSwap,7151.0,1371637,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacityRandom,GreedyCustomerSwap,7098.0,1712424,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacityRandom,GreedyInDoorSwap,6705.0,2197049,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacityRandom,GreedyOutDoorSwap,6783.0,1994654,,SetA_10x5S20-Solution
SetA_10x5S30,MaxCapacity,GreedySupplierReloc,6788.0,1880892,,SetA_10x5S30-Solution
SetA_10x5S30,MaxCapacity,GreedyCustomerReloc,6724.0,1968669,,SetA_10x5S30-Solution
SetA_10x5S30,MaxCapacity,GreedySupplierSwap,7008.0,1204884,,SetA_10x5S30-Solution
SetA_10x5S30,MaxCapacity,GreedyCustomerSwap,6952.0,1659082,,SetA_10x5S30-Solution
SetA_10x5S30,MaxCapacity,GreedyInDoorSwap,6805.0,1953198,,SetA_10x5S30-Solution
SetA_10x5S30,MaxCapacity,GreedyOutDoorSwap,6664.0,1805363,,SetA_10x5S30-Solution
SetA_10x5S30,MinCapacity,GreedySupplierReloc,6787.0,2608408,,SetA_10x5S30-Solution
SetA_10x5S30,MinCapacity,GreedyCustomerReloc,6532.0,2325464,,SetA_10x5S30-Solution
SetA_10x5S30,MinCapacity,GreedySupplierSwap,7230.0,1286861,,SetA_10x5S30-Solution
SetA_10x5S30,MinCapacity,GreedyCustomerSwap,7230.0,1296364,,SetA_10x5S30-Solution
SetA_10x5S30,MinCapacity,GreedyInDoorSwap,6788.0,1924556,,SetA_10x5S30-Solution
SetA_10x5S30,MaxCapacityRandom,GreedySupplierReloc,6831.0,2325392,,SetA_10x5S30-Solution
SetA_10x5S30,MaxCapacityRandom,GreedyCustomerReloc,6749.0,2043685,,SetA_10x5S30-Solution
SetA_10x5S30,MaxCapacityRandom,GreedySupplierSwap,6967.0,1712415,,SetA_10x5S30-Solution
SetA_10x5S30,MaxCapacityRandom,GreedyCustomerSwap,7036.0,1189422,,SetA_10x5S30-Solution
SetA_10x5S30,MaxCapacityRandom,GreedyInDoorSwap,6768.0,2241797,,SetA_10x5S30-Solution
SetA_10x5S30,MaxCapacityRandom,GreedyOutDoorSwap,6731.0,1881086,,SetA_10x5S30-Solution
SetA_10x5S30,MinCapacityRandom,GreedySupplierReloc,6812.0,1714214,,SetA_10x5S30-Solution
SetA_10x5S30,MinCapacityRandom,GreedyCustomerReloc,6686.0,2321415,,SetA_10x5S30-Solution
SetA_10x5S30,MinCapacityRandom,GreedySupplierSwap,6999.0,1165324,,SetA_10x5S30-Solution
SetA_10x5S30,MinCapacityRandom,GreedyCustomerSwap,7186.0,1637491,,SetA_10x5S30-Solution
SetA_10x5S30,MinCapacityRandom,GreedyInDoorSwap,6792.0,2100668,,SetA_10x5S30-Solution
SetA_10x5S30,MinCapacityRandom,GreedyOutDoorSwap,6718.0,2344567,,SetA_10x5S30-Solution
SetA_10x5S5,MaxCapacity,GreedySupplierReloc,7008.0,1287230,,SetA_10x5S5-Solution
SetA_10x5S5,MaxCapacity,GreedyCustomerReloc,7008.0,1174036,,SetA_10x5S5-Solution
SetA_10x5S5,MaxCapacity,GreedySupplierSwap,7008.0,1247543,,SetA_10x5S5-Solution
SetA_10x5S5,MaxCapacity,GreedyCustomerSwap,7008.0,1490198,,SetA_10x5S5-Solution
SetA_10x5S5,MaxCapacity,GreedyInDoorSwap,6805.0,2103679,,SetA_10x5S5-Solution
SetA_10x5S5,MaxCapacity,GreedyOutDoorSwap,6664.0,1848790,,SetA_10x5S5-Solution
SetA_10x5S5,MinCapacity,GreedySupplierReloc,-2.0,1334620,X,SetA_10x5S5-Solution
SetA_10x5S5,MinCapacity,GreedyCustomerReloc,-2.0,1446872,X,SetA_10x5S5-Solution
SetA_10x5S5,MinCapacity,GreedySupplierSwap,-2.0,1625877,X,SetA_10x5S5-Solution
SetA_10x5S5,MinCapacity,GreedyCustomerSwap,-2.0,1326714,X,SetA_10x5S5-Solution
SetA_10x5S5,MinCapacity,GreedyInDoorSwap,-279.0,2052847,,SetA_10x5S5-Solution
SetA_10x5S5,MinCapacity,GreedyOutDoorSwap,-161.0,2297733,,SetA_10x5S5-Solution
SetA_10x5S5,MaxCapacityRandom,GreedySupplierReloc,7396.0,1171954,,SetA_10x5S5-Solution
SetA_10x5S5,MaxCapacityRandom,GreedyCustomerReloc,7016.0,1196171,,SetA_10x5S5-Solution
SetA_10x5S5,MaxCapacityRandom,GreedySupplierSwap,6956.0,1181827,,SetA_10x5S5-Solution
SetA_10x5S5,MaxCapacityRandom,GreedyCustomerSwap,7156.0,1179854,,SetA_10x5S5-Solution
SetA_10x5S5,MaxCapacityRandom,GreedyInDoorSwap,6884.0,1988247,,SetA_10x5S5-Solution
SetA_10x5S5,MaxCapacityRandom,GreedyOutDoorSwap,6788.0,2030925,,SetA_10x5S5-Solution
SetA_10x5S5,MinCapacityRandom,GreedySupplierReloc,7199.0,1170913,,SetA_10x5S5-Solution
SetA_10x5S5,MinCapacityRandom,GreedyCustomerReloc,7145.0,1198756,,SetA_10x5S5-Solution
SetA_10x5S5,MinCapacityRandom,GreedySupplierSwap,7322.0,1401876,,SetA_10x5S5-Solution
SetA_10x5S5,MinCapacityRandom,GreedyCustomerSwap,7308.0,1176965,,SetA_10x5S5-Solution
SetA_10x5S5,MinCapacityRandom,GreedyInDoorSwap,6830.0,2369937,,SetA_10x5S5-Solution
SetA_10x5S5,MinCapacityRandom,GreedyOutDoorSwap,6727.0,2154898,,SetA_10x5S5-Solution
SetA_11x5S10,MaxCapacity,GreedySupplierReloc,-2.0,1513854,X,SetA_11x5S10-Solution
SetA_11x5S10,MaxCapacity,GreedyCustomerReloc,-99.0,1651888,,SetA_11x5S10-Solution
SetA_11x5S10,MaxCapacity,GreedySupplierSwap,-2.0,1291983,X,SetA_11x5S10-Solution
SetA_11x5S10,MaxCapacity,GreedyCustomerSwap,-2.0,1634169,X,SetA_11x5S10-Solution
SetA_11x5S10,MaxCapacity,GreedyInDoorSwap,-283.0,2162371,,SetA_11x5S10-Solution
SetA_11x5S10,MaxCapacity,GreedyOutDoorSwap,-248.0,2195642,,SetA_11x5S10-Solution
SetA_11x5S10,MinCapacity,GreedySupplierReloc,8133.0,2036037,,SetA_11x5S10-Solution
SetA_11x5S10,MinCapacity,GreedyCustomerReloc,8260.0,1697204,,SetA_11x5S10-Solution
SetA_11x5S10,MinCapacity,GreedySupplierSwap,8260.0,1375197,,SetA_11x5S10-Solution
SetA_11x5S10,MinCapacity,GreedyCustomerSwap,8260.0,1246558,,SetA_11x5S10-Solution
SetA_11x5S10,MinCapacity,GreedyInDoorSwap,7935.0,2041078,,SetA_11x5S10-Solution
SetA_11x5S10,MinCapacity,GreedyOutDoorSwap,7946.0,2099230,,SetA_11x5S10-Solution
