Instance,Algorithm,Order,Iterations,ObjectiveFunctionValue,OptimalValue,Time(ns),SolutionFile
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7583.0,7572.0,6214722475,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1,7866.0,7572.0,10529001,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,10,7629.0,7572.0,18735385,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,100,7644.0,7572.0,39479983,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1000,7592.0,7572.0,110024153,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,10000,7572.0,7572.0,231313849,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,100000,7572.0,7572.0,902478423,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1000000,7592.0,7572.0,6186734145,SetA_11x5S10-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1,7973.0,7535.0,12490336,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,10,7666.0,7535.0,18174306,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,100,7607.0,7535.0,57304327,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1000,7558.0,7535.0,111257636,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,10000,7542.0,7535.0,236325309,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,100000,7543.0,7535.0,880737717,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7542.0,7535.0,5764474766,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1,7746.0,7535.0,9756953,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,10,7585.0,7535.0,16907414,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,100,7572.0,7535.0,39356626,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1000,7544.0,7535.0,97766166,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,10000,7542.0,7535.0,233042299,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,100000,7535.0,7535.0,788797290,SetA_11x5S15-Solution
